company,idea,industry,subindustry,tags
Open,Enterprise AI customer support,B2B,"B2B -> Engineering, Product and Design",Generative AI|Customer Service|Customer Support|Conversational AI|AI Assistant
Open Listings,A better way to buy a home,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Marketplace|Real Estate
Openbase,Open-source library discovery,B2B,"B2B -> Engineering, Product and Design",Developer Tools|DevSecOps|Open Source
Openbenchmarks,Openbenchmarks helps you pick vendors for your use-case via Benchmarks,B2B,B2B -> Marketing,Artificial Intelligence|SaaS|B2B|SEO
OpenBiome,A nonprofit stool bank enabling access to fecal transplants.,Healthcare,Healthcare -> Therapeutics,Nonprofit
Opencall,Practice admin run by AI,B2B,B2B,Healthcare
OpenCode,The open source AI coding agent,B2B,B2B -> Infrastructure,Developer Tools|Open Source
OpenFoundry,The fastest developer experience for building on open source AI.,B2B,"B2B -> Engineering, Product and Design",Developer Tools|B2B|Open Source|Infrastructure|AI
OpenInt,Open Source Embedded Product Integrations,B2B,B2B -> Analytics,Developer Tools|SaaS|Open Source|AI
OpenIntake,The AI Front Door For Law Firms,B2B,B2B -> Legal,SaaS|B2B|Sales|Legal|LegalTech
OpenInvest,Values based personalization at scale for asset and wealth management,Fintech,Fintech,Fintech|Investing
Openland,Messenger for communities,Consumer,Consumer -> Social,Community|Messaging|Social
Openlayer,The fastest way to ship airtight AI,B2B,"B2B -> Engineering, Product and Design",AIOps|Artificial Intelligence|Developer Tools|Generative AI|Machine Learning
Openmart,Local business data intelligence platform,B2B,B2B,Artificial Intelligence|SaaS|B2B|Sales|AI
OpenMeter,"Usage Metering, AI & API Monetization",B2B,B2B -> Infrastructure,
Opennote,The notebook that thinks with you.,Consumer,Consumer,AI-Enhanced Learning|Education|SaaS|Consumer|Productivity
OpenPipe,Turn expensive prompts into cheap fine-tuned models,B2B,"B2B -> Engineering, Product and Design",AIOps|Artificial Intelligence|Open Source
OpenProse,An open-source operating system for reliable long-running agents,B2B,"B2B -> Engineering, Product and Design",
OpenRelay,"Distributed, hardware-agnostic AI inference",B2B,"B2B -> Engineering, Product and Design",AI
OpenReplay,"Open-source, self-hosted, session replay tool for developers.",B2B,B2B -> Infrastructure,Developer Tools|SaaS|Open Source
Openroll,The AI workforce for People and Finance teams,B2B,B2B,Artificial Intelligence|B2B|Productivity|HR Tech|Enterprise Software
OpenSight,AI-powered customer support automation for fast-growing companies,B2B,B2B -> Operations,Generative AI|B2B|Customer Success|Customer Support
OpenSpec,Plan mode for complex features,B2B,B2B,
Opensteer,Specialized agents for real work,B2B,B2B,Artificial Intelligence|Robotic Process Automation|B2B|API|Automation
OpenTag,Model Agnostic Claude Tag,B2B,B2B,AIOps|B2B|Workflow Automation|Enterprise Software|AI
OpenTools,The API for LLM tool use,B2B,"B2B -> Engineering, Product and Design",Marketplace|AI
OpenTrade,The new interface for investing.,Consumer,Consumer,Finance|Gaming|Investing|Consumer Finance|Stocks
Opentrons,We make robots for biologists.,Healthcare,Healthcare -> Diagnostics,Robotics|Synthetic Biology|Biotech
OpenUnit,Software for managing self-storage facilities.,B2B,B2B -> Operations,SaaS
OpenVector,AI that turns any camera to an autonomous worker with real-time vision,B2B,B2B -> Infrastructure,Robotics|Computer Vision|Infrastructure|Industrial
OpenWork,The open source alternative to Claude Cowork,B2B,B2B -> Productivity,
Operator.io,Operator.io is OpenClaw that just works,B2B,B2B,Generative AI|Data Engineering
Opez,Yelp for service pros.,Consumer,Consumer -> Home and Personal,Marketplace|Reviews
Ophelia,Medication & support to beat opioid addiction from home,Healthcare,Healthcare -> Consumer Health and Wellness,Mental Health Tech|Healthcare|Telemedicine
Opkit,AI phone calls for the US healthcare industry,Healthcare,Healthcare -> Healthcare IT,SaaS|Health Tech|Digital Health|Healthcare|Conversational AI
Opslane,Verify AI-generated code before you ship it,B2B,B2B -> Infrastructure,Artificial Intelligence|Developer Tools|Open Source|Enterprise|DevOps
Opsolutely,Automated deployments for software teams.,B2B,"B2B -> Engineering, Product and Design",DevOps
Optery,Opt out software that removes your private info from the internet,B2B,B2B -> Security,SaaS|Consumer|Security|Privacy|Enterprise Software
Optic,Making APIs Developer-friendly,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Open Source
Optifye.ai,AI performance monitoring for factory workers,B2B,B2B,Hard Tech|Computer Vision|Manufacturing
Optilly/Installmonetizer,Fb ad optimization platform,B2B,B2B -> Marketing,Marketing
Optimizely,The first all-in-one operating system for marketing,B2B,"B2B -> Engineering, Product and Design",Marketing
Opusense AI,AI for Field Inspection Reports,Real Estate and Construction,Real Estate and Construction -> Construction,
Opzi,Q&A for businesses.,Consumer,Consumer -> Gaming,
Ora AI,The AI Platform for Medical Education,Education,Education,Artificial Intelligence|Education|Healthcare
Orange Health Labs,India's Fastest Diagnostics Service,Healthcare,Healthcare -> Diagnostics,Consumer Health Services|Health Tech|Healthcare|Diagnostics
Orange Slice,Agentic sales enrichment spreadsheet,B2B,B2B -> Sales,
Orangewood Labs,Orangewood Labs makes worlds most affordable and easiest AI robot arms,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Generative AI|Hardware|Robotics
Orbillion Bio,Tasty and scalable cultivated meat at price parity,Industrials,Industrials -> Climate,Cultured Meat|Climate|Food Tech
Orbio Earth,Tracking methane emissions with satellites,B2B,B2B -> Analytics,Artificial Intelligence|Satellites|Analytics|Climate|Energy
Orbital Operations,High Thrust Space Vehicles for Satellite Defense,Industrials,Industrials -> Aviation and Space,
Orbiter,ML models automatically monitor business performance,B2B,B2B -> Analytics,Machine Learning|SaaS|B2B
Orca,"Banking for Gen Z, on steroids.",Fintech,Fintech,Fintech|Neobank
Orca Client,"Orca lets you build, discover, and play Minecraft games with friends.",Consumer,Consumer,Artificial Intelligence|Consumer|Gaming|AI|AI Assistant
Orchata,Groceries delivered in 20 min in Latinamerica,Consumer,Consumer -> Food and Beverage,Grocery|Delivery
Orchid,A personal EA in your iMessage,B2B,B2B -> Productivity,Artificial Intelligence|AI Assistant
Orchid,AI-powered EHR for independent mental health professionals,Healthcare,Healthcare,Artificial Intelligence|Mental Health Tech|SaaS|Health Tech|Healthcare
OrderAhead,Order ahead for pickup,Consumer,Consumer -> Food and Beverage,Cashierless Checkout|Marketplace|Payments
Orderli,Square for Europe,B2B,B2B,SaaS|B2B|E-commerce
Ordinary Seafood,We are doing for seafood what Impossible did for meat,Consumer,Consumer -> Food and Beverage,
OrgOrg,Organizational productivity suite for companies,B2B,B2B -> Productivity,B2B|Productivity|Collaboration|Operations
Origami,Get your perfect customers with one prompt,B2B,B2B -> Sales,Workflow Automation|Sales|Search
Origami Robotics,Manipulate Anything Robot,Industrials,Industrials,
"Origami Therapeutics, Inc.",Oral drugs to halt neurodegeneration,Healthcare,Healthcare -> Therapeutics,Biotech|Therapeutics|Drug discovery
Origin,AI and Data for Cancer Therapeutics,Healthcare,Healthcare -> Drug Discovery and Delivery,
Origin,Keurig for healthy smoothies.,B2B,B2B -> Office Management,Food Tech
Ornadyne,We're building robot birds for surveillance.,Industrials,Industrials -> Drones,Hard Tech|Robotics|Drones|Aerospace|Defense
Orthogonal,Agentic Payments for APIs,B2B,B2B -> Infrastructure,
OS3,Deploying US-Built Robots & Training Video Action Models,Industrials,Industrials -> Manufacturing and Robotics,Artificial Intelligence|Hardware|Robotics|B2B
OSIMple,Software for inspectors to automate their paper workflow.,Real Estate and Construction,Real Estate and Construction -> Construction,Workflow Automation|Enterprise Software
Osium AI,Speed up materials innovation with Artificial Intelligence,B2B,B2B,
Osmaura,AI growth engine for corporate law firms.,B2B,B2B,Sales Enablement|LegalTech|AI
Osmind,Platform for breakthrough mental health research and treatment,Healthcare,Healthcare -> Healthcare IT,Mental Health Tech|SaaS|Health Tech
Osmosis,Reinforcement Learning (RL) for AI Agents,B2B,B2B,Artificial Intelligence|Machine Learning|Reinforcement Learning|Infrastructure
Osseus,The intelligent development platform for robotics,B2B,"B2B -> Engineering, Product and Design",Robotics|B2B|Enterprise Software|Infrastructure|AI
Ossus,Intelligence for cultural institutions,B2B,B2B -> Infrastructure,Culture|AI
Oto,Digital program for tinnitus,Healthcare,Healthcare -> Consumer Health and Wellness,Consumer Health Services|Health Tech|Digital Health
Outerbase,The interface for your database,B2B,"B2B -> Engineering, Product and Design",Developer Tools|Generative AI|Analytics|Data Engineering|AI
Outerport,EDA for Industrial Control Systems,B2B,"B2B -> Engineering, Product and Design",Hardware|Manufacturing|Semiconductors|Industrial
Outfit,"DIY renovations in a box. Materials, tools, and instructions delivered",Consumer,Consumer -> Home and Personal,Consumer|Construction
Outlit,Retain and Grow Every Customer,B2B,B2B,Artificial Intelligence|B2B|Customer Success
outloud.ai,Building Gong.io for offline retail.,B2B,B2B -> Retail,Machine Learning|SaaS|B2B
Output Biosciences,The foundation for the next era of biology,Healthcare,Healthcare -> Drug Discovery and Delivery,AI-powered Drug Discovery|Generative AI|Biotech|AI
"OutRival, Inc.","Outbound AI Agents for Education, Insurance, and Travel",B2B,B2B,Artificial Intelligence|Education|Travel|Insurance|Customer Service
OutSail Technologies,"Revolutionary, Modern Wing Sails",Industrials,Industrials,Logistics|Climate|ClimateTech
Outschool,A live online learning platform that empowers kids ages 3-18.,Education,Education,Education|Marketplace
Outset,AI-powered user interviews,B2B,B2B -> Analytics,SaaS|B2B|Market Research|Enterprise Software|AI
Outship,Hire amazing engineers by seeing how they use AI,B2B,B2B -> Recruiting and Talent,Artificial Intelligence|B2B|Recruiting
Overdrive Health,AI-Native Medical Billing Services,Healthcare,Healthcare -> Healthcare Services,
Overfit,Human coach for accountability + AI for personalized workouts,Healthcare,Healthcare -> Consumer Health and Wellness,Artificial Intelligence|Fitness
Overflux,Streamline EV charger installations for real estate developers,B2B,B2B,Logistics|Proptech|Climate|Transportation|Electric Vehicles
Overlap,Multimodal AI agents for video,Consumer,Consumer -> Content,Artificial Intelligence|Consumer|Media|Podcasts
Overlord,AI Accountability Partner,Consumer,Consumer -> Home and Personal,Mental Health Tech|Consumer|Fitness|Productivity|Digital Health
Overshoot,AI Infra for real-time vision applications,B2B,B2B,
Overstand Labs,Navigate any set of data - no matter how large - in minutes.,B2B,B2B -> Analytics,Artificial Intelligence|LegalTech|Data Science|Data Engineering|Conversational AI
Overview,"Reshaping industrial quality with AI, hardware, and software",Industrials,Industrials -> Manufacturing and Robotics,Deep Learning|IoT|Computer Vision|Manufacturing|AI
Overwatch,Enterprise software for enterprise risk and cyber fraud intelligence,B2B,B2B -> Security,Artificial Intelligence|Cybersecurity|Fraud Prevention|Fraud Detection
Ovipost,Automated insect farming,Industrials,Industrials -> Agriculture,Biotech|Climate|Food Tech|Agriculture|ClimateTech
Ovlo,Founder led hiring for London startups,B2B,B2B -> Recruiting and Talent,SaaS|AI Assistant
Oway,Turning America's supply chain inefficiency into infrastructure.,B2B,B2B -> Infrastructure,B2B|API|Supply Chain|Infrastructure|AI
Owners Circle,Kickstarter for local businesses,Fintech,Fintech -> Credit and Lending,Crowdfunding
OWNY,"Manage capital, investors & banking in one place.",Fintech,Fintech,Artificial Intelligence|Banking as a Service|Fintech|Crypto / Web3
Oximy,Take command of the AI your company already runs on.,B2B,B2B -> Infrastructure,
Oxus,AI-powered automation for internal audit workflows,B2B,B2B,
Ozone,Figma for video,Consumer,Consumer,Productivity|Collaboration|Design Tools
Paasa,Invest in Global Equities from India,Fintech,Fintech -> Asset Management,Fintech|Consumer|Investing|Emerging Markets
Paces,Agentic AI for Power Projects and AI Infrastructure,Industrials,Industrials -> Climate,Proptech|Climate|Energy|Automation|AI
Pachama,Restoring nature to solve climate change.,Industrials,Industrials -> Climate,Carbon Capture and Removal|Machine Learning|Climate
Pachyderm,"Data Versioning, Data Pipelines, and Data Lineage",B2B,B2B -> Infrastructure,Developer Tools|Machine Learning|Data Science
Pacific,Mass-producing and financing micro data center incredibly quickly.,Industrials,Industrials,Fintech|Robotics|Space Exploration|Manufacturing|AI
Pactima,Live video signing for real-time agreements,B2B,B2B -> Legal,Documents|SaaS|B2B
Padlet,Papyrus → Parchment → Paper → Padlet,B2B,B2B -> Productivity,Education|SaaS
PadMapper,Map-based apartment search.,Real Estate and Construction,Real Estate and Construction -> Housing and Real Estate,Marketplace|Real Estate
PagerDuty,Real-time visibility into critical apps and services all in one place.,B2B,"B2B -> Engineering, Product and Design",DevOps|Monitoring
Pahamify,College entrance test preparation App for students in Indonesia,Education,Education,Education
Paid,Autopilot for Accounts Receivable,B2B,B2B -> Finance and Accounting,Fintech
Pair AI,Reimagining education with short form video and AI,Consumer,Consumer,AI-Enhanced Learning|Artificial Intelligence|Marketplace|eLearning|Creator Economy
Pair Team,Building the safety net of the future,Healthcare,Healthcare -> Healthcare Services,Health Tech|Workflow Automation|Digital Health|Healthcare|Healthcare IT
Pairio,AI mobile app that helps factory technicians fix broken machines,B2B,B2B,
Palette,An AI-Native Media Platform,B2B,B2B,Generative AI|Video|AI
PaletteHQ,Manage sales commissions and sales performance,B2B,B2B -> Sales,SaaS|B2B|Sales
Palifer,Predictive maintenance models for trains and heavy industry,Industrials,Industrials -> Automotive,Artificial Intelligence
Palisade,AI sales agents that run your marketplace,B2B,"B2B -> Engineering, Product and Design",Artificial Intelligence|Marketplace|Sales|E-commerce
Palisade,AI that finds and fixes OS-level vulnerabilities across device fleets,B2B,B2B -> Security,SaaS|B2B|Cybersecurity|AI
Palitronica Inc,Detect cyber attacks on critical physical infrastructure,B2B,B2B -> Security,Hard Tech|Hardware|Security
Palla,P2P Cross border payments,Fintech,Fintech -> Payments,
Pally,Your personal AI Assistant,B2B,B2B -> Productivity,Artificial Intelligence|Consumer|B2B|Productivity|Search
